FAA	lat	long	contr	score
PHX	33	-112	14107	176
LAX	33	-118	12892	461
SFO	37	-112	14771	153
DEN	39	-104	11292	222
MIA	25	-080	13303	555
ATL	33	-084	10397	000
ORD	41	-087	13930	250
BOS	42	-071	10721	333
DTW	42	-083	11433	272
MSP	44	-093	13487	666
LGA	40	-073	12953	153
LAS	36	-115	12889	214
JFK	40	-073	10388	125
PDX	45	-112	14057	250
PHL	39	-075	14100	307
DFW	32	-097	14465	333
SLC	40	-111	14869	125
IAD	38	-077	12264	235
SEA	47	-122	14747	571
